Pollutant Name: nitrogen (N),,
Pollutant Type: total deposition,,
Units: kg N ha-1 yr-1,,
Year: 2014,,
Resolution: 5km (Midpoint in metres of 5x5km grid square of the OS grid for Great Britain),,
,,
Easting,Northing,Value
152500,487500,10.93
212500,792500,8.29
277500,857500,3.32
222500,472500,7.06
417500,452500,20.21
462500,1217500,11.8
392500,572500,9.3
127500,947500,4.27
42500,537500,9.04
402500,597500,18.25
227500,482500,8.82
327500,1017500,9.25
517500,462500,10.72
347500,352500,11.52
392500,612500,24.43
432500,107500,18.33
292500,212500,18.99
132500,862500,5.69
402500,417500,30.19
22500,547500,12.34
242500,112500,13.41
427500,117500,18.18
612500,322500,10.53
207500,212500,12.67
527500,337500,8.7
382500,372500,15.95
207500,692500,18.41
172500,887500,3.31
442500,527500,9.94
527500,177500,14.47
537500,242500,12.1
77500,867500,4.67
202500,562500,12.2
637500,327500,9.56
242500,197500,7.92
167500,537500,8.77
592500,152500,12.18
452500,367500,18.93
457500,452500,12.16
217500,717500,15.86
257500,322500,6.24
447500,462500,12.27
477500,142500,13.61
152500,947500,4.34
507500,427500,15.15
627500,267500,11.55
497500,107500,13.72
247500,912500,6.47
32500,497500,8.15
367500,267500,13.03
387500,147500,15.06
367500,652500,12.81
352500,212500,18.23
407500,187500,13.68
207500,707500,15.55
317500,597500,18.83
352500,702500,5.85
117500,597500,10.96
292500,267500,18.06
467500,402500,12.46
532500,332500,8.36
127500,512500,11.93
122500,937500,5.68
422500,367500,25.36
387500,512500,24.88
372500,117500,13.35
527500,222500,12.37
112500,482500,14.32
612500,162500,14.83
422500,377500,28.18
607500,317500,12.78
72500,562500,15.43
282500,292500,17.71
297500,797500,10.89
187500,857500,5.99
107500,502500,11.16
267500,262500,10.63
372500,132500,14.99
497500,377500,12.56
257500,312500,6.48
167500,677500,8.06
327500,947500,7.44
142500,957500,4.11
307500,207500,21.96
337500,857500,12.19
577500,157500,12.93
412500,612500,12.37
332500,422500,9.38
7500,492500,5.75
437500,1157500,10.22
322500,862500,8.48
277500,647500,12.64
392500,527500,18.88
332500,427500,9.52
562500,307500,10.47
472500,217500,10.1
487500,457500,18.16
357500,522500,24.36
162500,532500,12.15
332500,412500,8.41
232500,217500,12.46
287500,947500,7.14
392500,222500,12.69
397500,292500,16.88
362500,497500,17.3
582500,162500,12.62
247500,142500,5.84
152500,842500,7.51
527500,132500,17.99
337500,397500,9.75
382500,342500,20.68
257500,577500,27.25
542500,112500,12.83
417500,607500,9.64
187500,832500,6.58
342500,382500,10.2
262500,217500,15.8
502500,377500,12.95
467500,267500,12.17
522500,227500,12.33
537500,162500,15.93
387500,652500,7.49
282500,217500,19.05
362500,297500,12.51
282500,687500,12.47
357500,327500,13.82
287500,827500,5.61
212500,907500,3.95
422500,257500,8.72
567500,297500,13.83
317500,217500,22.39
237500,377500,8.67
267500,872500,4.33
282500,677500,11.47
257500,722500,18.82
577500,167500,13.96
117500,902500,7.03
87500,567500,15.68
157500,817500,6.41
287500,762500,9.68
237500,187500,6.38
637500,312500,10.29
362500,312500,9.66
62500,517500,9.34
